Brand,Product_Type,Price_INR,Rating,Number_of_Reviews,Skin_Type,Age_Group,Key_Ingredient,Additional_Ingredient,Primary_Concern,Purchase_Date
Skinceuticals,Eye Cream,4237.42,5.0,40,Combination,56+,Hyaluronic Acid,Squalane,Uneven texture,2025-03-01
Kiehl's,Night Cream,4456.26,5.0,11,Sensitive,56+,Jojoba Oil,Azelaic Acid,Acne,2025-06-18
Glossier,Serum,2617.95,5.0,25,Dry,46-55,Salicylic Acid,Vitamin C,Uneven texture,2024-04-23
Fresh,Eye Cream,2413.76,4.6,428,Oily,56+,Azelaic Acid,Vitamin C,Uneven texture,2024-11-14
Youth to the People,Moisturizer,1266.64,3.6,50,Normal,26-35,Bakuchiol,Glycolic Acid,Sensitivity,2024-10-29
CeraVe,Sunscreen,1167.29,4.1,19,Dry,18-25,Squalane,Titanium Dioxide,Acne,2024-06-29
Kiehl's,Moisturizer,2525.96,4.9,191,Combination,18-25,Glycolic Acid,Bakuchiol,Redness,2024-01-09
Estee Lauder,Cleanser,1697.95,3.8,41,Dry,36-45,Retinol,Bakuchiol,Sensitivity,2025-01-23
Neutrogena,Eye Cream,2941.1,5.0,173,Oily,26-35,Titanium Dioxide,Bakuchiol,Hyperpigmentation,2025-03-17
Fresh,Sunscreen,986.1,5.0,109,Normal,18-25,Lactic Acid,Titanium Dioxide,Fine lines,2023-12-08
Paula's Choice,Night Cream,1513.15,3.5,5,Combination,18-25,Ceramides,Tea Tree Oil,Dryness,2023-11-27
Youth to the People,Night Cream,1402.83,4.4,75,Acne-prone,46-55,Ceramides,Azelaic Acid,Acne,2024-11-17
Neutrogena,Night Cream,3568.46,5.0,42,Acne-prone,56+,Benzoyl Peroxide,Bakuchiol,Oiliness,2025-09-15
Aveeno,Sunscreen,851.47,3.1,144,Acne-prone,46-55,Tea Tree Oil,Glycolic Acid,Pores,2024-11-10
Youth to the People,Exfoliant,1358.53,3.1,133,Acne-prone,56+,Tea Tree Oil,Lactic Acid,Dryness,2024-05-07
Fenty Beauty,Exfoliant,1436.16,4.8,128,Acne-prone,46-55,Lactic Acid,Niacinamide,Fine lines,2024-06-06
Origins,Toner,624.32,3.5,27,Combination,26-35,Glycolic Acid,Alpha Arbutin,Dark spots,2024-08-20
Skinceuticals,Moisturizer,3197.54,4.2,80,Sensitive,26-35,Squalane,Hyaluronic Acid,Sensitivity,2025-03-16
Clinique,Sunscreen,1740.68,5.0,28,Oily,46-55,Alpha Arbutin,Titanium Dioxide,Redness,2024-11-14
Paula's Choice,Moisturizer,1384.1,3.2,125,Oily,36-45,Ceramides,Jojoba Oil,Pores,2023-10-06
La Roche-Posay,Toner,773.78,3.7,57,Normal,46-55,Tea Tree Oil,Hyaluronic Acid,Redness,2023-12-15
The Ordinary,Cleanser,791.59,2.8,125,Dry,18-25,Tea Tree Oil,Zinc Oxide,Dryness,2023-09-23
Paula's Choice,Facial Oil,1838.2,4.8,170,Acne-prone,36-45,Alpha Arbutin,Kojic Acid,Dullness,2024-12-17
Clinique,Toner,1627.42,4.4,137,Oily,56+,Glycolic Acid,Squalane,Dark spots,2024-03-24
Aveeno,Eye Cream,1653.23,4.1,96,Normal,46-55,Tea Tree Oil,Jojoba Oil,Pores,2025-08-06
Youth to the People,Sunscreen,729.13,4.0,69,Combination,26-35,Niacinamide,Ceramides,Redness,2023-10-10
La Roche-Posay,Facial Oil,1671.34,4.4,40,Oily,26-35,Azelaic Acid,Jojoba Oil,Dryness,2024-03-09
Origins,Exfoliant,1146.76,4.0,1991,Acne-prone,36-45,Niacinamide,Squalane,Pores,2025-05-16
Olay,Moisturizer,1609.19,4.1,18,Normal,56+,Glycolic Acid,Squalane,Uneven texture,2024-06-04
Fenty Beauty,Night Cream,2517.99,5.0,215,Combination,26-35,Azelaic Acid,Glycolic Acid,Oiliness,2024-05-18
Fenty Beauty,Serum,1895.39,4.8,4,Acne-prone,36-45,Retinol,Tea Tree Oil,Pores,2025-03-21
Aveeno,Face Mask,566.39,5.0,48,Sensitive,18-25,Peptides,Zinc Oxide,Acne,2024-08-24
Fresh,Toner,746.3,3.7,113,Oily,18-25,Squalane,Titanium Dioxide,Pores,2025-02-19
Clinique,Sunscreen,1423.51,4.0,75,Oily,36-45,Peptides,Zinc Oxide,Oiliness,2025-01-05
Aveeno,Eye Cream,2259.12,5.0,24,Sensitive,18-25,Titanium Dioxide,Niacinamide,Pores,2024-08-29
Glossier,Toner,1308.06,4.5,231,Oily,18-25,Azelaic Acid,Titanium Dioxide,Dullness,2024-06-06
Kiehl's,Exfoliant,1396.22,4.2,28,Sensitive,26-35,Glycolic Acid,Benzoyl Peroxide,Acne,2025-04-17
CeraVe,Eye Cream,2072.14,4.6,10,Acne-prone,46-55,Squalane,Azelaic Acid,Dryness,2025-06-15
Drunk Elephant,Eye Cream,4192.31,5.0,18,Combination,18-25,Niacinamide,Lactic Acid,Hyperpigmentation,2025-04-02
Kiehl's,Night Cream,3221.71,5.0,22,Acne-prone,36-45,Ceramides,Zinc Oxide,Oiliness,2024-03-06
Olay,Exfoliant,2251.0,4.1,51,Normal,18-25,Titanium Dioxide,Zinc Oxide,Dullness,2024-01-06
La Roche-Posay,Serum,2347.92,4.5,23,Normal,18-25,Titanium Dioxide,Ceramides,Acne,2024-04-08
La Roche-Posay,Toner,1178.0,3.4,124,Sensitive,36-45,Titanium Dioxide,Lactic Acid,Acne,2024-11-10
Neutrogena,Eye Cream,2013.68,3.8,112,Dry,18-25,Alpha Arbutin,Tea Tree Oil,Dark spots,2025-08-01
The Ordinary,Cleanser,935.39,4.0,251,Dry,56+,Niacinamide,Jojoba Oil,Redness,2024-11-10
Fenty Beauty,Cleanser,841.97,2.9,70,Normal,36-45,Hyaluronic Acid,Retinol,Dark spots,2023-09-20
Rare Beauty,Serum,1426.57,3.4,8,Normal,46-55,Squalane,Titanium Dioxide,Anti-aging,2024-08-13
Estee Lauder,Sunscreen,2227.19,4.2,96,Dry,36-45,Ceramides,Squalane,Acne,2025-09-06
Neutrogena,Serum,2002.21,5.0,14,Combination,26-35,Tea Tree Oil,Alpha Arbutin,Oiliness,2025-02-27
Youth to the People,Toner,1152.46,3.9,54,Normal,46-55,Alpha Arbutin,Vitamin C,Uneven texture,2024-10-04
Origins,Serum,1850.58,3.7,109,Sensitive,46-55,Niacinamide,Azelaic Acid,Sensitivity,2024-06-30
Youth to the People,Cleanser,595.33,3.3,402,Sensitive,46-55,Vitamin C,Glycolic Acid,Dullness,2024-04-14
Neutrogena,Eye Cream,1444.07,3.6,41,Acne-prone,36-45,Bakuchiol,Vitamin C,Sensitivity,2024-01-12
Rare Beauty,Sunscreen,723.74,3.7,142,Combination,26-35,Alpha Arbutin,Jojoba Oil,Pores,2024-05-20
Paula's Choice,Eye Cream,3073.36,4.8,406,Sensitive,26-35,Hyaluronic Acid,Squalane,Hyperpigmentation,2025-09-05
Tatcha,Serum,3002.53,5.0,56,Dry,26-35,Azelaic Acid,Glycolic Acid,Uneven texture,2024-04-09
L'Oreal,Facial Oil,1471.26,4.8,32,Normal,56+,Zinc Oxide,Benzoyl Peroxide,Redness,2025-04-14
CeraVe,Toner,819.65,4.9,18,Acne-prone,18-25,Azelaic Acid,Hyaluronic Acid,Oiliness,2024-01-23
Youth to the People,Facial Oil,2301.83,4.9,25,Oily,56+,Alpha Arbutin,Zinc Oxide,Dullness,2023-10-26
Neutrogena,Toner,790.26,4.7,54,Acne-prone,46-55,Kojic Acid,Azelaic Acid,Acne,2025-08-16
Rare Beauty,Facial Oil,2266.91,3.5,5,Combination,46-55,Niacinamide,Salicylic Acid,Dullness,2023-09-21
Fenty Beauty,Toner,915.41,4.4,55,Oily,46-55,Kojic Acid,Salicylic Acid,Anti-aging,2025-02-18
Fenty Beauty,Face Mask,950.37,3.3,38,Sensitive,56+,Titanium Dioxide,Hyaluronic Acid,Anti-aging,2024-02-21
Kiehl's,Eye Cream,2196.1,5.0,191,Sensitive,18-25,Niacinamide,Kojic Acid,Dullness,2025-06-02
CeraVe,Night Cream,2035.81,5.0,21,Acne-prone,56+,Squalane,Benzoyl Peroxide,Pores,2024-11-17
Aveeno,Sunscreen,978.96,3.2,129,Oily,46-55,Peptides,Hyaluronic Acid,Dark spots,2025-02-03
Rare Beauty,Facial Oil,2634.66,5.0,308,Sensitive,56+,Kojic Acid,Lactic Acid,Dryness,2024-03-10
Origins,Exfoliant,1271.62,3.9,103,Acne-prone,18-25,Vitamin C,Bakuchiol,Hyperpigmentation,2024-12-28
Skinceuticals,Eye Cream,2470.3,3.5,7,Sensitive,36-45,Azelaic Acid,Squalane,Dark spots,2023-10-31
Kiehl's,Moisturizer,3044.45,5.0,41,Oily,56+,Niacinamide,Azelaic Acid,Anti-aging,2024-12-27
CeraVe,Facial Oil,2568.44,4.4,111,Dry,26-35,Azelaic Acid,Ceramides,Sensitivity,2024-07-25
Kiehl's,Face Mask,734.98,2.3,91,Sensitive,18-25,Hyaluronic Acid,Squalane,Dryness,2025-07-03
Drunk Elephant,Cleanser,1792.13,4.0,8,Dry,18-25,Benzoyl Peroxide,Glycolic Acid,Anti-aging,2024-10-09
Aveeno,Moisturizer,1375.59,3.8,1146,Oily,36-45,Salicylic Acid,Benzoyl Peroxide,Redness,2025-07-21
Neutrogena,Night Cream,1806.21,4.0,51,Normal,18-25,Ceramides,Tea Tree Oil,Anti-aging,2025-08-13
Paula's Choice,Facial Oil,2103.29,5.0,190,Combination,36-45,Ceramides,Bakuchiol,Hyperpigmentation,2024-10-23
Origins,Serum,1704.19,5.0,121,Acne-prone,46-55,Alpha Arbutin,Squalane,Redness,2025-07-23
Skinceuticals,Toner,2138.34,4.5,148,Normal,26-35,Alpha Arbutin,Tea Tree Oil,Dullness,2025-01-27
CeraVe,Face Mask,473.18,3.7,117,Normal,26-35,Vitamin C,Squalane,Uneven texture,2025-02-23
Tatcha,Face Mask,1021.32,3.9,8,Acne-prone,46-55,Lactic Acid,Niacinamide,Pores,2024-09-03
Glossier,Night Cream,1625.29,5.0,42,Combination,36-45,Retinol,Salicylic Acid,Dark spots,2024-06-14
Clinique,Toner,1549.27,4.2,58,Oily,46-55,Retinol,Ceramides,Pores,2023-10-28
Drunk Elephant,Cleanser,1194.47,3.9,9,Sensitive,36-45,Retinol,Titanium Dioxide,Acne,2024-11-15
Glossier,Face Mask,436.38,3.1,36,Acne-prone,56+,Tea Tree Oil,Ceramides,Hyperpigmentation,2024-09-17
Aveeno,Toner,688.59,4.4,219,Combination,36-45,Niacinamide,Ceramides,Dullness,2025-01-03
Skinceuticals,Exfoliant,2278.69,3.9,397,Sensitive,36-45,Salicylic Acid,Benzoyl Peroxide,Sensitivity,2024-12-23
Clinique,Toner,962.58,3.3,195,Oily,18-25,Peptides,Glycolic Acid,Uneven texture,2023-11-15
La Roche-Posay,Eye Cream,2642.08,4.3,246,Combination,46-55,Titanium Dioxide,Kojic Acid,Dark spots,2024-07-31
Tatcha,Eye Cream,4272.23,5.0,35,Normal,56+,Peptides,Jojoba Oil,Hyperpigmentation,2025-07-24
Aveeno,Exfoliant,1783.4,5.0,24,Sensitive,46-55,Ceramides,Peptides,Dark spots,2023-10-13
Paula's Choice,Moisturizer,1721.97,4.7,6,Acne-prone,46-55,Alpha Arbutin,Azelaic Acid,Hyperpigmentation,2023-10-07
Skinceuticals,Sunscreen,1754.28,4.0,74,Combination,46-55,Salicylic Acid,Zinc Oxide,Dark spots,2024-01-02
The Ordinary,Eye Cream,2332.02,5.0,28,Normal,26-35,Retinol,Ceramides,Uneven texture,2025-05-14
Youth to the People,Moisturizer,2044.28,3.6,48,Combination,56+,Zinc Oxide,Retinol,Pores,2024-04-08
Clinique,Exfoliant,2353.82,5.0,227,Dry,56+,Squalane,Niacinamide,Dryness,2024-11-15
Kiehl's,Moisturizer,2865.02,5.0,582,Sensitive,36-45,Glycolic Acid,Lactic Acid,Uneven texture,2025-03-03
Skinceuticals,Facial Oil,3938.03,5.0,86,Acne-prone,26-35,Lactic Acid,Niacinamide,Acne,2023-09-29
Paula's Choice,Moisturizer,1075.56,4.0,40,Acne-prone,46-55,Lactic Acid,Tea Tree Oil,Dark spots,2025-02-06
The Ordinary,Moisturizer,985.34,2.8,17,Sensitive,56+,Alpha Arbutin,Retinol,Oiliness,2025-07-28
The Ordinary,Exfoliant,1624.84,5.0,295,Normal,56+,Salicylic Acid,Tea Tree Oil,Dullness,2025-04-13
Neutrogena,Night Cream,2366.13,5.0,64,Oily,36-45,Tea Tree Oil,Benzoyl Peroxide,Hyperpigmentation,2024-01-02
La Roche-Posay,Toner,1167.64,4.0,37,Normal,18-25,Jojoba Oil,Tea Tree Oil,Oiliness,2023-09-25
Paula's Choice,Toner,760.06,3.0,49,Normal,18-25,Kojic Acid,Glycolic Acid,Hyperpigmentation,2023-11-27
Clinique,Facial Oil,2182.96,4.8,350,Normal,18-25,Retinol,Alpha Arbutin,Oiliness,2025-05-14
CeraVe,Sunscreen,1261.27,2.9,64,Sensitive,46-55,Alpha Arbutin,Tea Tree Oil,Redness,2023-12-11
Clinique,Exfoliant,3134.45,5.0,26,Dry,26-35,Lactic Acid,Salicylic Acid,Oiliness,2023-10-25
Glossier,Facial Oil,1954.16,4.6,36,Sensitive,56+,Lactic Acid,Ceramides,Dullness,2025-03-20
Youth to the People,Night Cream,2798.87,5.0,11,Dry,18-25,Jojoba Oil,Ceramides,Sensitivity,2024-07-05
Olay,Eye Cream,3107.53,5.0,45,Oily,36-45,Lactic Acid,Peptides,Dullness,2024-10-28
Fresh,Eye Cream,1952.15,4.7,55,Normal,18-25,Salicylic Acid,Titanium Dioxide,Anti-aging,2023-11-28
Paula's Choice,Cleanser,653.28,2.1,57,Acne-prone,18-25,Kojic Acid,Titanium Dioxide,Dryness,2025-06-26
Rare Beauty,Cleanser,1080.54,4.1,10,Normal,18-25,Jojoba Oil,Niacinamide,Acne,2025-03-07
Aveeno,Moisturizer,1468.44,2.9,64,Combination,18-25,Squalane,Kojic Acid,Dryness,2025-05-16
Kiehl's,Cleanser,977.18,3.8,40,Acne-prone,56+,Kojic Acid,Niacinamide,Dullness,2023-12-27
Rare Beauty,Eye Cream,1953.0,4.6,167,Sensitive,36-45,Bakuchiol,Squalane,Sensitivity,2024-06-13
Skinceuticals,Exfoliant,3191.81,4.8,8,Combination,46-55,Vitamin C,Glycolic Acid,Dullness,2025-01-18
Tatcha,Moisturizer,2129.18,4.5,49,Sensitive,46-55,Peptides,Tea Tree Oil,Acne,2025-02-20
L'Oreal,Cleanser,804.46,3.0,41,Oily,36-45,Hyaluronic Acid,Jojoba Oil,Acne,2025-05-17
Origins,Facial Oil,2508.6,5.0,55,Oily,36-45,Salicylic Acid,Benzoyl Peroxide,Fine lines,2024-10-01
Glossier,Cleanser,833.87,3.4,188,Acne-prone,36-45,Retinol,Glycolic Acid,Anti-aging,2025-04-29
Paula's Choice,Exfoliant,1695.25,3.4,47,Dry,56+,Hyaluronic Acid,Tea Tree Oil,Pores,2023-11-23
CeraVe,Toner,581.62,2.9,104,Acne-prone,36-45,Niacinamide,Glycolic Acid,Dullness,2024-02-12
Neutrogena,Exfoliant,960.98,3.6,21,Sensitive,46-55,Kojic Acid,Zinc Oxide,Sensitivity,2024-08-06
Olay,Night Cream,3466.86,5.0,413,Acne-prone,18-25,Titanium Dioxide,Benzoyl Peroxide,Sensitivity,2025-08-23
Skinceuticals,Toner,1960.99,4.5,43,Normal,56+,Titanium Dioxide,Kojic Acid,Fine lines,2024-05-06
Paula's Choice,Eye Cream,2299.42,5.0,40,Oily,18-25,Azelaic Acid,Salicylic Acid,Uneven texture,2025-08-14
Clinique,Face Mask,670.54,4.9,96,Normal,46-55,Azelaic Acid,Bakuchiol,Dullness,2025-02-17
Youth to the People,Cleanser,1121.75,3.9,146,Acne-prone,56+,Titanium Dioxide,Salicylic Acid,Anti-aging,2024-09-15
Drunk Elephant,Night Cream,4080.46,5.0,418,Oily,36-45,Niacinamide,Hyaluronic Acid,Hyperpigmentation,2025-03-08
Rare Beauty,Eye Cream,2549.45,5.0,4,Sensitive,26-35,Salicylic Acid,Squalane,Hyperpigmentation,2025-07-26
Drunk Elephant,Sunscreen,1424.12,5.0,21,Dry,18-25,Ceramides,Salicylic Acid,Sensitivity,2024-10-09
Aveeno,Serum,2364.33,4.2,13,Oily,26-35,Tea Tree Oil,Ceramides,Hyperpigmentation,2024-10-02
Skinceuticals,Moisturizer,2249.17,5.0,49,Sensitive,18-25,Glycolic Acid,Zinc Oxide,Redness,2025-01-04
Kiehl's,Serum,4282.3,5.0,396,Acne-prone,26-35,Bakuchiol,Squalane,Hyperpigmentation,2024-09-22
Fresh,Face Mask,1045.81,4.4,52,Acne-prone,26-35,Squalane,Titanium Dioxide,Uneven texture,2024-05-09
Tatcha,Cleanser,1131.52,2.5,2,Normal,36-45,Zinc Oxide,Titanium Dioxide,Dark spots,2023-11-07
Skinceuticals,Sunscreen,1504.4,3.9,171,Combination,36-45,Titanium Dioxide,Vitamin C,Dryness,2025-04-15
Tatcha,Moisturizer,2037.88,5.0,177,Oily,46-55,Jojoba Oil,Lactic Acid,Dark spots,2025-02-18
Clinique,Serum,3840.52,4.9,44,Acne-prone,56+,Vitamin C,Tea Tree Oil,Sensitivity,2025-04-23
The Ordinary,Exfoliant,1022.62,3.3,134,Oily,56+,Bakuchiol,Alpha Arbutin,Dryness,2023-11-23
Rare Beauty,Night Cream,3493.76,5.0,2,Oily,36-45,Titanium Dioxide,Bakuchiol,Dryness,2024-03-29
La Roche-Posay,Sunscreen,745.51,3.7,39,Normal,18-25,Peptides,Hyaluronic Acid,Pores,2025-02-01
Fenty Beauty,Cleanser,1080.0,3.8,86,Oily,26-35,Zinc Oxide,Vitamin C,Fine lines,2024-02-29
Origins,Face Mask,461.38,3.1,17,Dry,56+,Zinc Oxide,Niacinamide,Anti-aging,2025-04-24
Tatcha,Night Cream,4753.67,5.0,331,Normal,18-25,Hyaluronic Acid,Peptides,Hyperpigmentation,2025-09-05
The Ordinary,Facial Oil,2338.66,5.0,92,Acne-prone,26-35,Bakuchiol,Niacinamide,Hyperpigmentation,2024-07-19
Kiehl's,Cleanser,1200.89,3.8,32,Dry,46-55,Tea Tree Oil,Squalane,Oiliness,2024-10-01
L'Oreal,Serum,1639.99,4.5,89,Sensitive,46-55,Salicylic Acid,Ceramides,Redness,2024-03-31
Olay,Moisturizer,1608.84,4.7,158,Normal,26-35,Zinc Oxide,Azelaic Acid,Pores,2025-07-05
Clinique,Moisturizer,2931.38,5.0,4,Sensitive,46-55,Bakuchiol,Kojic Acid,Oiliness,2025-08-07
Estee Lauder,Eye Cream,2847.13,4.5,38,Dry,46-55,Glycolic Acid,Jojoba Oil,Uneven texture,2023-10-16
La Roche-Posay,Cleanser,1094.2,3.8,59,Dry,18-25,Kojic Acid,Hyaluronic Acid,Fine lines,2024-04-15
Estee Lauder,Eye Cream,4814.39,5.0,318,Oily,46-55,Vitamin C,Zinc Oxide,Fine lines,2023-11-13
Neutrogena,Night Cream,2530.71,5.0,44,Dry,26-35,Lactic Acid,Tea Tree Oil,Sensitivity,2024-08-19
Origins,Sunscreen,1339.7,2.7,151,Acne-prone,26-35,Ceramides,Kojic Acid,Acne,2023-12-15
Olay,Serum,2463.15,3.4,131,Dry,56+,Kojic Acid,Niacinamide,Hyperpigmentation,2023-12-23
CeraVe,Moisturizer,2104.68,4.3,46,Combination,46-55,Zinc Oxide,Salicylic Acid,Dark spots,2024-01-18
The Ordinary,Sunscreen,1204.31,4.0,17,Oily,56+,Squalane,Peptides,Anti-aging,2023-09-30
Olay,Moisturizer,1477.57,3.8,14,Dry,46-55,Kojic Acid,Bakuchiol,Anti-aging,2024-12-21
Kiehl's,Moisturizer,2632.43,5.0,141,Acne-prone,18-25,Hyaluronic Acid,Ceramides,Dark spots,2023-11-22
Paula's Choice,Moisturizer,850.0,3.8,17,Dry,18-25,Azelaic Acid,Benzoyl Peroxide,Acne,2025-09-14
Fenty Beauty,Sunscreen,1145.85,2.7,32,Normal,36-45,Salicylic Acid,Vitamin C,Oiliness,2024-05-23
Fenty Beauty,Toner,917.82,4.6,5,Sensitive,36-45,Niacinamide,Lactic Acid,Redness,2024-10-15
L'Oreal,Cleanser,674.08,3.9,42,Dry,18-25,Squalane,Lactic Acid,Redness,2023-12-31
Drunk Elephant,Exfoliant,2807.43,5.0,29,Oily,46-55,Titanium Dioxide,Hyaluronic Acid,Anti-aging,2024-02-22
L'Oreal,Facial Oil,1135.38,4.5,41,Sensitive,26-35,Peptides,Ceramides,Dark spots,2023-09-27
Paula's Choice,Exfoliant,1839.27,5.0,23,Combination,26-35,Ceramides,Salicylic Acid,Dullness,2024-10-11
Origins,Exfoliant,1297.23,3.0,106,Normal,36-45,Jojoba Oil,Titanium Dioxide,Fine lines,2024-05-21
Skinceuticals,Facial Oil,2965.39,5.0,989,Dry,36-45,Bakuchiol,Azelaic Acid,Acne,2024-04-09
Estee Lauder,Sunscreen,2105.86,4.4,29,Normal,46-55,Retinol,Peptides,Acne,2025-01-03
Glossier,Serum,2112.28,3.9,44,Acne-prone,36-45,Retinol,Lactic Acid,Pores,2025-01-18
L'Oreal,Eye Cream,3053.72,5.0,102,Acne-prone,36-45,Squalane,Benzoyl Peroxide,Fine lines,2023-10-18
Rare Beauty,Face Mask,726.95,5.0,39,Sensitive,26-35,Hyaluronic Acid,Jojoba Oil,Acne,2024-11-06
The Ordinary,Toner,941.58,4.2,45,Sensitive,56+,Alpha Arbutin,Tea Tree Oil,Dark spots,2024-10-06
Paula's Choice,Night Cream,2886.64,5.0,28,Normal,18-25,Jojoba Oil,Zinc Oxide,Uneven texture,2024-03-27
Aveeno,Face Mask,954.89,3.8,324,Sensitive,26-35,Tea Tree Oil,Titanium Dioxide,Oiliness,2024-06-06
Skinceuticals,Sunscreen,1965.21,5.0,22,Combination,56+,Kojic Acid,Vitamin C,Sensitivity,2023-12-05
The Ordinary,Cleanser,1203.51,4.0,46,Dry,18-25,Kojic Acid,Niacinamide,Pores,2023-09-26
La Roche-Posay,Serum,1400.59,2.6,32,Normal,26-35,Retinol,Peptides,Dryness,2025-01-12
L'Oreal,Sunscreen,1419.03,4.5,189,Combination,36-45,Niacinamide,Vitamin C,Dullness,2025-02-17
Aveeno,Face Mask,686.3,3.4,19,Oily,56+,Niacinamide,Salicylic Acid,Sensitivity,2023-12-21
Fresh,Eye Cream,1334.71,4.8,175,Normal,18-25,Zinc Oxide,Titanium Dioxide,Oiliness,2023-10-29
Kiehl's,Eye Cream,2804.18,5.0,33,Acne-prone,26-35,Retinol,Ceramides,Anti-aging,2024-02-07
Estee Lauder,Sunscreen,1615.76,3.7,15,Sensitive,36-45,Zinc Oxide,Salicylic Acid,Dryness,2024-01-31
CeraVe,Moisturizer,1172.11,5.0,42,Acne-prone,46-55,Salicylic Acid,Tea Tree Oil,Sensitivity,2025-02-08
Fresh,Cleanser,644.76,2.6,29,Oily,56+,Lactic Acid,Retinol,Hyperpigmentation,2025-07-24
Paula's Choice,Cleanser,937.05,3.5,40,Oily,18-25,Ceramides,Benzoyl Peroxide,Hyperpigmentation,2024-12-14
Skinceuticals,Moisturizer,2626.95,3.6,35,Oily,46-55,Vitamin C,Jojoba Oil,Uneven texture,2025-09-06
Glossier,Sunscreen,736.01,1.8,125,Normal,18-25,Azelaic Acid,Squalane,Pores,2025-09-16
CeraVe,Moisturizer,1983.03,4.5,23,Sensitive,18-25,Zinc Oxide,Benzoyl Peroxide,Hyperpigmentation,2025-09-03
Fresh,Toner,759.9,4.7,10,Sensitive,46-55,Kojic Acid,Azelaic Acid,Sensitivity,2024-06-20
Fenty Beauty,Sunscreen,1194.15,2.8,287,Combination,18-25,Niacinamide,Kojic Acid,Hyperpigmentation,2025-05-11
Estee Lauder,Moisturizer,2700.0,4.9,58,Acne-prone,56+,Alpha Arbutin,Azelaic Acid,Fine lines,2024-05-27
L'Oreal,Face Mask,534.46,4.0,263,Combination,18-25,Benzoyl Peroxide,Salicylic Acid,Uneven texture,2024-02-11
Youth to the People,Night Cream,1429.09,3.0,15,Combination,26-35,Benzoyl Peroxide,Jojoba Oil,Uneven texture,2024-03-12
Aveeno,Face Mask,443.32,2.4,10,Normal,18-25,Alpha Arbutin,Retinol,Sensitivity,2025-05-20
Kiehl's,Face Mask,1050.01,4.5,142,Dry,18-25,Alpha Arbutin,Ceramides,Fine lines,2025-05-19
Rare Beauty,Toner,1019.85,3.4,63,Acne-prone,56+,Tea Tree Oil,Azelaic Acid,Dryness,2025-05-17
Paula's Choice,Cleanser,1141.04,3.5,948,Dry,18-25,Benzoyl Peroxide,Ceramides,Acne,2024-02-13
Origins,Cleanser,1139.28,3.1,33,Sensitive,36-45,Glycolic Acid,Bakuchiol,Dryness,2024-11-26
Origins,Sunscreen,1149.1,3.8,232,Combination,26-35,Alpha Arbutin,Salicylic Acid,Sensitivity,2025-06-06
Tatcha,Moisturizer,1694.05,4.3,227,Combination,46-55,Squalane,Zinc Oxide,Fine lines,2024-11-26
The Ordinary,Eye Cream,2933.48,4.8,154,Dry,26-35,Zinc Oxide,Jojoba Oil,Hyperpigmentation,2024-04-21
Aveeno,Toner,1367.55,5.0,40,Acne-prone,26-35,Kojic Acid,Alpha Arbutin,Fine lines,2025-03-05
Clinique,Eye Cream,4849.41,5.0,34,Acne-prone,46-55,Titanium Dioxide,Niacinamide,Pores,2025-05-23
Estee Lauder,Serum,3189.35,4.8,11,Dry,18-25,Jojoba Oil,Lactic Acid,Acne,2023-12-05
L'Oreal,Face Mask,847.03,4.3,6,Normal,46-55,Ceramides,Salicylic Acid,Fine lines,2024-07-01
Fenty Beauty,Sunscreen,840.95,3.7,154,Dry,18-25,Alpha Arbutin,Kojic Acid,Sensitivity,2024-12-05
Estee Lauder,Sunscreen,1121.05,4.1,13,Combination,18-25,Tea Tree Oil,Vitamin C,Dryness,2025-06-13
Fresh,Eye Cream,1297.04,3.7,123,Dry,18-25,Squalane,Vitamin C,Uneven texture,2024-10-09
Fenty Beauty,Toner,667.55,3.7,159,Combination,56+,Lactic Acid,Retinol,Uneven texture,2023-11-10
Olay,Facial Oil,1794.29,4.9,20,Acne-prone,56+,Glycolic Acid,Salicylic Acid,Dryness,2025-06-13
Olay,Cleanser,1211.56,2.6,204,Combination,36-45,Tea Tree Oil,Azelaic Acid,Fine lines,2024-06-27
Clinique,Cleanser,1693.26,4.2,71,Oily,56+,Benzoyl Peroxide,Retinol,Redness,2025-04-20
Kiehl's,Face Mask,921.75,3.2,153,Normal,46-55,Jojoba Oil,Lactic Acid,Oiliness,2024-12-20
Neutrogena,Serum,2355.45,3.4,101,Oily,36-45,Zinc Oxide,Alpha Arbutin,Uneven texture,2025-04-09
Glossier,Exfoliant,1474.93,5.0,221,Normal,18-25,Jojoba Oil,Ceramides,Hyperpigmentation,2023-10-04
La Roche-Posay,Face Mask,680.93,3.4,363,Sensitive,26-35,Glycolic Acid,Hyaluronic Acid,Uneven texture,2024-10-10
Olay,Sunscreen,1375.26,5.0,90,Oily,18-25,Benzoyl Peroxide,Glycolic Acid,Sensitivity,2025-04-24
L'Oreal,Serum,2356.77,4.4,19,Dry,26-35,Kojic Acid,Tea Tree Oil,Acne,2024-07-12
Fenty Beauty,Toner,1202.78,4.4,70,Oily,18-25,Vitamin C,Peptides,Sensitivity,2025-02-15
Rare Beauty,Moisturizer,1580.56,4.0,154,Oily,36-45,Niacinamide,Peptides,Pores,2024-01-22
The Ordinary,Serum,2395.52,4.5,6,Sensitive,56+,Hyaluronic Acid,Tea Tree Oil,Anti-aging,2024-02-20
Tatcha,Facial Oil,3060.15,4.0,45,Dry,36-45,Lactic Acid,Kojic Acid,Uneven texture,2024-11-29
