Brand,Product_Type,Price_INR,Rating,Number_of_Reviews,Skin_Type,Age_Group,Key_Ingredient,Additional_Ingredient,Primary_Concern,
Glossier,Night Cream,3543.36,5,5,Normal,46-55,Peptides,Azelaic Acid,Anti-aging,
Estee Lauder,Cleanser,922.78,3.9,36,Combination,36-45,Alpha Arbutin,Benzoyl Peroxide,Oiliness,
Skinceuticals,Moisturizer,2645.43,4.1,60,Acne-prone,18-25,Niacinamide,Squalane,Hyperpigmentation,
Drunk Elephant,Toner,969.83,3.6,255,Sensitive,56+,Glycolic Acid,Retinol,Hyperpigmentation,
The Ordinary,Sunscreen,897.22,4.5,183,Oily,46-55,Benzoyl Peroxide,Hyaluronic Acid,Uneven texture,
Kiehl's,Eye Cream,3325.93,5,221,Combination,46-55,Vitamin C,Niacinamide,Dark spots,
Paula's Choice,Sunscreen,1364.64,5,38,Dry,56+,Lactic Acid,Kojic Acid,Fine lines,
L'Oreal,Eye Cream,2719.81,5,12,Normal,18-25,Lactic Acid,Ceramides,Pores,
Rare Beauty,Eye Cream,1923.11,5,39,Combination,56+,Titanium Dioxide,Bakuchiol,Dark spots,
Aveeno,Facial Oil,1633.06,4.2,60,Dry,36-45,Hyaluronic Acid,Benzoyl Peroxide,Uneven texture,
Aveeno,Sunscreen,1114.5,3.3,21,Oily,46-55,Alpha Arbutin,Squalane,Redness,
Clinique,Facial Oil,3269.63,5,68,Dry,18-25,Vitamin C,Benzoyl Peroxide,Fine lines,
L'Oreal,Exfoliant,1949.39,3.4,165,Combination,26-35,Bakuchiol,Jojoba Oil,Redness,
Rare Beauty,Eye Cream,2270.19,4.7,78,Sensitive,18-25,Kojic Acid,Bakuchiol,Uneven texture,
Tatcha,Sunscreen,1430.87,4.2,103,Dry,26-35,Squalane,Bakuchiol,Acne,
La Roche-Posay,Exfoliant,2151.77,4.8,4,Normal,18-25,Ceramides,Glycolic Acid,Oiliness,
Glossier,Exfoliant,1398.75,3.6,60,Normal,18-25,Niacinamide,Benzoyl Peroxide,Pores,
Estee Lauder,Face Mask,1547.68,4.1,7,Acne-prone,56+,Squalane,Glycolic Acid,Anti-aging,
Rare Beauty,Moisturizer,1979.54,5,23,Acne-prone,18-25,Kojic Acid,Azelaic Acid,Dark spots,
Paula's Choice,Toner,1298.23,4.9,18,Normal,46-55,Hyaluronic Acid,Benzoyl Peroxide,Pores,
CeraVe,Serum,2368.8,5,23,Dry,56+,Ceramides,Salicylic Acid,Hyperpigmentation,
Drunk Elephant,Face Mask,817.89,3.4,50,Oily,36-45,Niacinamide,Hyaluronic Acid,Acne,
Drunk Elephant,Moisturizer,2661,5,1073,Acne-prone,36-45,Benzoyl Peroxide,Ceramides,Dullness,
Tatcha,Eye Cream,3473.8,5,202,Sensitive,36-45,Lactic Acid,Niacinamide,Pores,
Aveeno,Facial Oil,1585.11,5,24,Oily,26-35,Salicylic Acid,Titanium Dioxide,Anti-aging,
La Roche-Posay,Cleanser,1181.09,2.9,13,Dry,26-35,Bakuchiol,Zinc Oxide,Fine lines,
Drunk Elephant,Face Mask,1165.35,3.2,559,Dry,36-45,Tea Tree Oil,Retinol,Anti-aging,
Tatcha,Night Cream,3098.98,5,170,Normal,26-35,Zinc Oxide,Squalane,Fine lines,
Fenty Beauty,Moisturizer,1108.13,3.6,7,Oily,56+,Retinol,Glycolic Acid,Oiliness,
Rare Beauty,Serum,2662.7,4.1,96,Sensitive,46-55,Kojic Acid,Titanium Dioxide,Acne,
Skinceuticals,Eye Cream,3950.19,5,113,Combination,56+,Benzoyl Peroxide,Bakuchiol,Oiliness,
Drunk Elephant,Facial Oil,3036.6,5,14,Dry,26-35,Jojoba Oil,Glycolic Acid,Sensitivity,
La Roche-Posay,Cleanser,1006,2.4,72,Combination,26-35,Squalane,Kojic Acid,Dullness,
Drunk Elephant,Exfoliant,2408.48,5,1,Acne-prone,26-35,Benzoyl Peroxide,Peptides,Fine lines,
Fresh,Sunscreen,1274.51,4.4,22,Normal,56+,Retinol,Vitamin C,Hyperpigmentation,
Olay,Moisturizer,1181.88,3.7,52,Normal,26-35,Titanium Dioxide,Bakuchiol,Uneven texture,
L'Oreal,Sunscreen,1555.93,4.1,19,Dry,26-35,Benzoyl Peroxide,Squalane,Dryness,
L'Oreal,Toner,813.82,4.5,25,Normal,46-55,Alpha Arbutin,Azelaic Acid,Fine lines,
The Ordinary,Face Mask,1026.02,3.4,43,Acne-prone,46-55,Kojic Acid,Azelaic Acid,Uneven texture,
Origins,Exfoliant,1111.34,3.9,54,Sensitive,56+,Squalane,Retinol,Anti-aging,
Skinceuticals,Sunscreen,1676.51,4.9,330,Sensitive,36-45,Tea Tree Oil,Titanium Dioxide,Dark spots,
Neutrogena,Night Cream,1927.55,4.8,16,Acne-prone,46-55,Glycolic Acid,Bakuchiol,Dullness,
Youth to the People,Sunscreen,891.72,4.3,450,Oily,36-45,Peptides,Glycolic Acid,Dark spots,
Fresh,Exfoliant,1419.35,5,317,Acne-prone,56+,Retinol,Azelaic Acid,Redness,
Estee Lauder,Serum,2797.2,4.7,32,Normal,18-25,Jojoba Oil,Hyaluronic Acid,Dryness,
La Roche-Posay,Toner,660.63,4,426,Oily,56+,Glycolic Acid,Niacinamide,Dark spots,
Olay,Eye Cream,2840.99,5,337,Sensitive,26-35,Lactic Acid,Retinol,Uneven texture,
Fenty Beauty,Serum,1275.38,4.5,164,Dry,36-45,Jojoba Oil,Azelaic Acid,Pores,
Rare Beauty,Eye Cream,2798.12,5,35,Normal,36-45,Tea Tree Oil,Alpha Arbutin,Dark spots,
Youth to the People,Eye Cream,2267.94,3.8,18,Sensitive,46-55,Alpha Arbutin,Ceramides,Pores,
CeraVe,Sunscreen,989.25,2.9,323,Oily,46-55,Hyaluronic Acid,Lactic Acid,Sensitivity,
Origins,Exfoliant,1059.2,4.7,32,Sensitive,56+,Vitamin C,Hyaluronic Acid,Oiliness,
L'Oreal,Face Mask,994.46,3.9,121,Sensitive,46-55,Zinc Oxide,Retinol,Dryness,
The Ordinary,Toner,954.66,3.8,32,Sensitive,26-35,Lactic Acid,Retinol,Uneven texture,
CeraVe,Cleanser,1151,3.8,156,Acne-prone,18-25,Glycolic Acid,Kojic Acid,Dullness,
Fresh,Exfoliant,2198.68,5,61,Oily,18-25,Hyaluronic Acid,Niacinamide,Dryness,
Tatcha,Face Mask,1154.82,4.1,9,Sensitive,46-55,Salicylic Acid,Jojoba Oil,Uneven texture,
Skinceuticals,Eye Cream,2309.46,4.5,56,Combination,46-55,Niacinamide,Vitamin C,Anti-aging,
Paula's Choice,Facial Oil,2288.96,5,10,Dry,18-25,Zinc Oxide,Hyaluronic Acid,Uneven texture,
Youth to the People,Toner,587.66,3.2,189,Oily,36-45,Jojoba Oil,Bakuchiol,Oiliness,
Olay,Eye Cream,3187.1,5,12,Acne-prone,36-45,Jojoba Oil,Ceramides,Fine lines,
La Roche-Posay,Face Mask,1011.58,4,35,Sensitive,46-55,Bakuchiol,Tea Tree Oil,Redness,
La Roche-Posay,Night Cream,1822.31,4.5,58,Dry,18-25,Titanium Dioxide,Peptides,Pores,
Skinceuticals,Facial Oil,3135.98,5,114,Dry,46-55,Zinc Oxide,Jojoba Oil,Pores,
Fresh,Night Cream,1703.01,4,14,Acne-prone,36-45,Ceramides,Kojic Acid,Fine lines,
L'Oreal,Sunscreen,1179.57,4.4,13,Normal,18-25,Lactic Acid,Glycolic Acid,Fine lines,
La Roche-Posay,Eye Cream,2380.48,5,14,Combination,46-55,Hyaluronic Acid,Glycolic Acid,Oiliness,
Aveeno,Eye Cream,1744.38,4.2,102,Oily,56+,Jojoba Oil,Kojic Acid,Anti-aging,
Skinceuticals,Moisturizer,2934.67,4.4,28,Sensitive,56+,Ceramides,Hyaluronic Acid,Dark spots,
Skinceuticals,Cleanser,956.99,3.5,18,Acne-prone,26-35,Jojoba Oil,Ceramides,Hyperpigmentation,
Glossier,Face Mask,1072.95,4,7,Normal,56+,Hyaluronic Acid,Peptides,Dryness,
Fresh,Serum,1761.92,4.1,27,Dry,46-55,Squalane,Azelaic Acid,Sensitivity,
Olay,Cleanser,618.73,3.9,305,Acne-prone,26-35,Titanium Dioxide,Ceramides,Anti-aging,
Fresh,Eye Cream,2095.57,3.6,39,Sensitive,26-35,Niacinamide,Titanium Dioxide,Uneven texture,
Youth to the People,Sunscreen,770.18,2.5,23,Dry,56+,Kojic Acid,Titanium Dioxide,Anti-aging,
Neutrogena,Sunscreen,882.58,3,21,Normal,56+,Salicylic Acid,Peptides,Dryness,
Olay,Exfoliant,2084.31,4.8,105,Dry,36-45,Bakuchiol,Titanium Dioxide,Dryness,
Drunk Elephant,Moisturizer,2182.76,4.8,34,Sensitive,56+,Alpha Arbutin,Hyaluronic Acid,Dark spots,
CeraVe,Face Mask,657.12,3.4,19,Dry,18-25,Squalane,Salicylic Acid,Oiliness,
CeraVe,Facial Oil,2097.57,3.9,211,Acne-prone,46-55,Azelaic Acid,Jojoba Oil,Acne,
Aveeno,Moisturizer,1160.71,3.4,9,Oily,18-25,Glycolic Acid,Vitamin C,Sensitivity,
Olay,Toner,738.25,3.8,53,Dry,56+,Zinc Oxide,Vitamin C,Sensitivity,
Aveeno,Facial Oil,1416.91,4.4,151,Dry,18-25,Benzoyl Peroxide,Retinol,Anti-aging,
Tatcha,Face Mask,1012.4,3.8,339,Dry,46-55,Ceramides,Hyaluronic Acid,Pores,
Skinceuticals,Sunscreen,1708.25,4.7,262,Dry,56+,Vitamin C,Jojoba Oil,Dullness,
Origins,Exfoliant,1236.93,2.9,148,Combination,26-35,Hyaluronic Acid,Peptides,Fine lines,
Glossier,Sunscreen,666.36,4,56,Oily,26-35,Vitamin C,Ceramides,Anti-aging,
Paula's Choice,Toner,572.5,2.6,49,Normal,56+,Tea Tree Oil,Lactic Acid,Dryness,
Kiehl's,Facial Oil,3805.68,5,35,Oily,56+,Alpha Arbutin,Titanium Dioxide,Dullness,
Fresh,Exfoliant,1729.49,2.9,5,Sensitive,36-45,Vitamin C,Retinol,Uneven texture,
Rare Beauty,Eye Cream,2266.66,5,53,Acne-prone,56+,Vitamin C,Titanium Dioxide,Hyperpigmentation,
L'Oreal,Night Cream,3282,4.6,12,Oily,36-45,Niacinamide,Lactic Acid,Fine lines,
Tatcha,Night Cream,3316.72,5,24,Combination,26-35,Kojic Acid,Jojoba Oil,Oiliness,
Fenty Beauty,Sunscreen,715.77,3.2,90,Sensitive,46-55,Retinol,Benzoyl Peroxide,Uneven texture,
Rare Beauty,Face Mask,648.42,4.3,63,Combination,56+,Azelaic Acid,Niacinamide,Dullness,
Clinique,Facial Oil,3132.82,5,183,Sensitive,46-55,Peptides,Bakuchiol,Pores,
L'Oreal,Exfoliant,2035.51,3.2,10,Combination,26-35,Vitamin C,Kojic Acid,Anti-aging,
Olay,Serum,2188.39,5,4,Dry,26-35,Vitamin C,Retinol,Hyperpigmentation,
Youth to the People,Sunscreen,1582.65,3.4,129,Acne-prone,18-25,Salicylic Acid,Titanium Dioxide,Dark spots,
Origins,Face Mask,920.47,3.5,120,Acne-prone,36-45,Vitamin C,Lactic Acid,Dryness,
The Ordinary,Night Cream,2015.05,3.4,156,Acne-prone,18-25,Jojoba Oil,Squalane,Hyperpigmentation,
Youth to the People,Exfoliant,1457.69,5,99,Oily,26-35,Lactic Acid,Jojoba Oil,Oiliness,
CeraVe,Serum,2407.74,5,2,Dry,46-55,Kojic Acid,Lactic Acid,Sensitivity,
Clinique,Toner,1324.56,4.5,179,Normal,26-35,Salicylic Acid,Tea Tree Oil,Dullness,
Aveeno,Exfoliant,2246.23,4.5,23,Normal,26-35,Retinol,Glycolic Acid,Redness,
Paula's Choice,Sunscreen,769.72,3.6,6,Acne-prone,26-35,Ceramides,Kojic Acid,Oiliness,
Paula's Choice,Eye Cream,1723.97,4.1,201,Oily,18-25,Niacinamide,Retinol,Acne,
Olay,Cleanser,935.91,2.7,204,Combination,18-25,Glycolic Acid,Kojic Acid,Pores,
Rare Beauty,Eye Cream,2662.67,4.6,149,Oily,56+,Squalane,Niacinamide,Fine lines,
Aveeno,Serum,2433.44,5,38,Oily,46-55,Tea Tree Oil,Niacinamide,Dark spots,
Paula's Choice,Facial Oil,1788.39,4.1,1,Sensitive,46-55,Benzoyl Peroxide,Niacinamide,Fine lines,
Neutrogena,Eye Cream,2746,4.8,37,Oily,36-45,Benzoyl Peroxide,Ceramides,Fine lines,
L'Oreal,Cleanser,497.41,2.4,79,Sensitive,46-55,Alpha Arbutin,Peptides,Dullness,
Glossier,Serum,2139.28,4.8,57,Oily,56+,Tea Tree Oil,Retinol,Uneven texture,
Tatcha,Cleanser,1290.04,4.4,6,Combination,36-45,Jojoba Oil,Hyaluronic Acid,Anti-aging,
Glossier,Eye Cream,2636.89,3.1,53,Oily,18-25,Niacinamide,Azelaic Acid,Anti-aging,
Aveeno,Night Cream,1697.25,4.5,31,Combination,18-25,Azelaic Acid,Zinc Oxide,Sensitivity,
Fenty Beauty,Eye Cream,2747.8,5,46,Combination,18-25,Glycolic Acid,Retinol,Anti-aging,
The Ordinary,Eye Cream,1759.35,4.4,11,Acne-prone,18-25,Hyaluronic Acid,Squalane,Acne,
Origins,Moisturizer,1979.39,4.1,88,Normal,46-55,Hyaluronic Acid,Kojic Acid,Sensitivity,
The Ordinary,Facial Oil,2420.73,4.5,117,Sensitive,46-55,Bakuchiol,Peptides,Dark spots,
Skinceuticals,Night Cream,3978.89,5,69,Acne-prone,18-25,Hyaluronic Acid,Benzoyl Peroxide,Pores,
Youth to the People,Exfoliant,1656.19,3.7,15,Combination,18-25,Lactic Acid,Glycolic Acid,Dark spots,
The Ordinary,Facial Oil,2318.16,4.8,46,Combination,46-55,Peptides,Salicylic Acid,Pores,
Kiehl's,Toner,1442.08,3.2,74,Normal,46-55,Squalane,Zinc Oxide,Fine lines,
Glossier,Serum,1602.74,3.7,138,Sensitive,18-25,Bakuchiol,Hyaluronic Acid,Sensitivity,
Rare Beauty,Face Mask,804.89,4.4,103,Oily,18-25,Salicylic Acid,Vitamin C,Acne,
Fresh,Moisturizer,1563.51,4.2,397,Sensitive,56+,Salicylic Acid,Hyaluronic Acid,Dullness,
Skinceuticals,Exfoliant,2289.86,4.4,14,Normal,46-55,Ceramides,Niacinamide,Redness,
CeraVe,Face Mask,427.02,4.5,115,Normal,36-45,Tea Tree Oil,Squalane,Acne,
Drunk Elephant,Toner,1279.66,4,117,Oily,46-55,Titanium Dioxide,Tea Tree Oil,Oiliness,
La Roche-Posay,Cleanser,1182.66,3.2,44,Normal,36-45,Salicylic Acid,Niacinamide,Fine lines,
CeraVe,Serum,1616.21,4.1,32,Oily,46-55,Squalane,Jojoba Oil,Oiliness,
Youth to the People,Toner,1435.81,4.3,60,Dry,36-45,Benzoyl Peroxide,Peptides,Dryness,
Estee Lauder,Moisturizer,2181.59,4.6,14,Acne-prone,36-45,Retinol,Titanium Dioxide,Dullness,
Kiehl's,Cleanser,1021.46,3.9,387,Sensitive,26-35,Titanium Dioxide,Azelaic Acid,Sensitivity,
Fresh,Facial Oil,1879.63,3.9,10,Acne-prone,56+,Squalane,Lactic Acid,Fine lines,
Drunk Elephant,Toner,1691.24,4.9,45,Oily,56+,Lactic Acid,Salicylic Acid,Sensitivity,
Skinceuticals,Facial Oil,1920.22,3.2,36,Normal,26-35,Tea Tree Oil,Lactic Acid,Dark spots,
The Ordinary,Night Cream,1949.83,4.1,34,Combination,56+,Kojic Acid,Titanium Dioxide,Hyperpigmentation,
La Roche-Posay,Facial Oil,2142.71,4,30,Combination,56+,Lactic Acid,Titanium Dioxide,Oiliness,
Skinceuticals,Sunscreen,2213.07,5,43,Normal,18-25,Bakuchiol,Alpha Arbutin,Acne,
Paula's Choice,Night Cream,2200.31,5,122,Combination,56+,Hyaluronic Acid,Vitamin C,Dullness,
Kiehl's,Serum,2342,5,9,Oily,36-45,Glycolic Acid,Kojic Acid,Dryness,
Clinique,Serum,3893.29,5,78,Dry,46-55,Bakuchiol,Jojoba Oil,Sensitivity,
Kiehl's,Toner,1487.63,5,53,Combination,46-55,Benzoyl Peroxide,Hyaluronic Acid,Oiliness,
La Roche-Posay,Exfoliant,1281.31,3.9,42,Dry,18-25,Salicylic Acid,Kojic Acid,Redness,
Youth to the People,Moisturizer,1192.09,3.7,91,Normal,26-35,Lactic Acid,Glycolic Acid,Hyperpigmentation,
Fenty Beauty,Facial Oil,1366.48,4.2,221,Dry,26-35,Kojic Acid,Lactic Acid,Fine lines,
L'Oreal,Cleanser,938.57,4.3,23,Sensitive,36-45,Titanium Dioxide,Salicylic Acid,Hyperpigmentation,
Rare Beauty,Toner,1230.02,3.5,83,Oily,36-45,Salicylic Acid,Alpha Arbutin,Pores,
Rare Beauty,Moisturizer,1919.07,4.9,48,Normal,36-45,Squalane,Jojoba Oil,Hyperpigmentation,
Clinique,Eye Cream,4290,5,155,Dry,26-35,Benzoyl Peroxide,Peptides,Hyperpigmentation,
Origins,Moisturizer,1549.97,3.7,12,Normal,56+,Ceramides,Zinc Oxide,Hyperpigmentation,
Skinceuticals,Eye Cream,4413.51,5,66,Acne-prone,36-45,Vitamin C,Squalane,Oiliness,
Clinique,Serum,3928.36,4.6,148,Combination,26-35,Glycolic Acid,Zinc Oxide,Acne,
Skinceuticals,Facial Oil,3297.17,4.4,116,Acne-prone,46-55,Hyaluronic Acid,Alpha Arbutin,Sensitivity,
Skinceuticals,Serum,4193.94,5,78,Normal,56+,Vitamin C,Salicylic Acid,Redness,
Aveeno,Eye Cream,2264.28,3.4,4,Combination,26-35,Benzoyl Peroxide,Niacinamide,Acne,
Fenty Beauty,Facial Oil,1307.89,4.9,37,Sensitive,56+,Glycolic Acid,Squalane,Sensitivity,
Clinique,Eye Cream,3027.18,5,33,Sensitive,46-55,Niacinamide,Retinol,Acne,
The Ordinary,Sunscreen,1380.95,4.4,204,Sensitive,18-25,Tea Tree Oil,Salicylic Acid,Pores,
Fresh,Moisturizer,935.14,3.7,99,Acne-prone,36-45,Alpha Arbutin,Jojoba Oil,Acne,
Kiehl's,Exfoliant,2819.58,5,18,Normal,26-35,Salicylic Acid,Lactic Acid,Dryness,
Drunk Elephant,Night Cream,4467.32,5,14,Normal,18-25,Bakuchiol,Benzoyl Peroxide,Sensitivity,
Kiehl's,Moisturizer,1862.45,3.8,246,Oily,26-35,Salicylic Acid,Jojoba Oil,Fine lines,
Youth to the People,Night Cream,1940.19,4.6,33,Acne-prone,56+,Salicylic Acid,Lactic Acid,Sensitivity,
Aveeno,Facial Oil,1126.16,2.3,26,Sensitive,26-35,Salicylic Acid,Titanium Dioxide,Redness,
Paula's Choice,Toner,1243.26,4.8,34,Combination,56+,Alpha Arbutin,Lactic Acid,Dark spots,
The Ordinary,Cleanser,1114.73,3.9,26,Sensitive,18-25,Benzoyl Peroxide,Tea Tree Oil,Uneven texture,
Youth to the People,Eye Cream,3011.16,5,336,Dry,26-35,Hyaluronic Acid,Glycolic Acid,Redness,
Drunk Elephant,Cleanser,1023.35,3.3,11,Dry,56+,Titanium Dioxide,Kojic Acid,Dryness,
Paula's Choice,Exfoliant,1738.48,2.6,406,Combination,18-25,Glycolic Acid,Vitamin C,Oiliness,
Skinceuticals,Toner,1808.84,4,37,Oily,18-25,Peptides,Glycolic Acid,Pores,
Fenty Beauty,Exfoliant,1537.85,4.6,9,Combination,36-45,Vitamin C,Squalane,Sensitivity,
Neutrogena,Moisturizer,990.08,4,24,Oily,26-35,Alpha Arbutin,Retinol,Dullness,
Kiehl's,Sunscreen,1698.32,3.2,142,Acne-prone,26-35,Alpha Arbutin,Bakuchiol,Dark spots,
Fresh,Toner,742.75,3.9,13,Combination,18-25,Alpha Arbutin,Benzoyl Peroxide,Dark spots,
La Roche-Posay,Serum,2595.64,5,138,Combination,36-45,Niacinamide,Vitamin C,Sensitivity,
Drunk Elephant,Moisturizer,3063.15,5,39,Dry,46-55,Lactic Acid,Azelaic Acid,Redness,
Glossier,Eye Cream,2522.15,5,20,Dry,26-35,Benzoyl Peroxide,Niacinamide,Dullness,
Olay,Exfoliant,2213.11,5,3,Normal,26-35,Bakuchiol,Ceramides,Hyperpigmentation,
Paula's Choice,Cleanser,1170.22,4.6,66,Combination,36-45,Peptides,Glycolic Acid,Dark spots,
Neutrogena,Toner,1179.82,3,187,Normal,56+,Jojoba Oil,Peptides,Uneven texture,
Rare Beauty,Exfoliant,978.19,3.2,31,Combination,56+,Hyaluronic Acid,Jojoba Oil,Fine lines,
The Ordinary,Face Mask,643.46,2.1,69,Sensitive,36-45,Bakuchiol,Vitamin C,Uneven texture,
CeraVe,Night Cream,2101.88,5,24,Acne-prone,26-35,Glycolic Acid,Zinc Oxide,Uneven texture,
Clinique,Night Cream,2512.67,5,38,Dry,36-45,Bakuchiol,Salicylic Acid,Fine lines,
Rare Beauty,Toner,576.76,3.6,133,Dry,46-55,Retinol,Titanium Dioxide,Dryness,
Aveeno,Toner,1229.5,3.5,58,Combination,46-55,Benzoyl Peroxide,Retinol,Fine lines,
The Ordinary,Eye Cream,3075.33,5,39,Oily,26-35,Azelaic Acid,Jojoba Oil,Hyperpigmentation,
Glossier,Sunscreen,1247.53,3.3,53,Acne-prone,26-35,Azelaic Acid,Alpha Arbutin,Dark spots,
CeraVe,Moisturizer,1488.65,3.8,157,Normal,26-35,Bakuchiol,Jojoba Oil,Fine lines,
The Ordinary,Exfoliant,1865.44,3.3,118,Normal,18-25,Titanium Dioxide,Lactic Acid,Fine lines,
Olay,Toner,1008.96,3.6,55,Oily,36-45,Vitamin C,Squalane,Uneven texture,
Paula's Choice,Facial Oil,2576.51,4.2,2341,Sensitive,36-45,Zinc Oxide,Hyaluronic Acid,Anti-aging,
Fenty Beauty,Night Cream,2459.86,5,25,Combination,36-45,Vitamin C,Niacinamide,Oiliness,
The Ordinary,Facial Oil,1358.56,4.9,46,Oily,26-35,Niacinamide,Ceramides,Dullness,
Rare Beauty,Serum,2356.32,3.7,41,Oily,36-45,Niacinamide,Zinc Oxide,Anti-aging,
L'Oreal,Night Cream,1433.42,3.5,50,Dry,56+,Zinc Oxide,Squalane,Uneven texture,
Fenty Beauty,Toner,759.11,3.7,27,Oily,46-55,Vitamin C,Benzoyl Peroxide,Redness,
Rare Beauty,Eye Cream,1583.53,3.8,213,Oily,56+,Salicylic Acid,Glycolic Acid,Pores,
L'Oreal,Cleanser,1173.03,4.1,8,Combination,56+,Lactic Acid,Ceramides,Dark spots,
Paula's Choice,Face Mask,873.41,3.7,7,Oily,18-25,Bakuchiol,Benzoyl Peroxide,Oiliness,
Fresh,Exfoliant,1666.19,3.4,93,Normal,18-25,Glycolic Acid,Retinol,Dryness,
Olay,Eye Cream,1948.2,4.9,108,Sensitive,56+,Peptides,Jojoba Oil,Dullness,
Youth to the People,Night Cream,3067.3,4.4,47,Normal,46-55,Niacinamide,Alpha Arbutin,Dryness,
Paula's Choice,Exfoliant,1326.79,5,76,Combination,56+,Jojoba Oil,Alpha Arbutin,Uneven texture,
Drunk Elephant,Serum,2011.64,4.8,106,Normal,56+,Azelaic Acid,Lactic Acid,Hyperpigmentation,
The Ordinary,Eye Cream,2971.14,5,114,Normal,26-35,Retinol,Salicylic Acid,Dryness,
Glossier,Exfoliant,1518.45,3.9,134,Dry,46-55,Kojic Acid,Niacinamide,Pores,
Drunk Elephant,Toner,1326.04,4.2,9,Acne-prone,36-45,Squalane,Salicylic Acid,Dullness,
Neutrogena,Exfoliant,1569.47,4.7,112,Dry,56+,Azelaic Acid,Vitamin C,Sensitivity,
Estee Lauder,Eye Cream,4609.28,5,4,Acne-prone,26-35,Bakuchiol,Retinol,Dryness,
Olay,Moisturizer,1552.38,2.6,168,Oily,26-35,Hyaluronic Acid,Bakuchiol,Pores,
L'Oreal,Night Cream,1737.5,3.5,77,Sensitive,36-45,Ceramides,Jojoba Oil,Dullness,
Drunk Elephant,Cleanser,871.87,3.7,34,Dry,18-25,Lactic Acid,Squalane,Dullness,
Drunk Elephant,Eye Cream,3306.94,5,23,Acne-prone,36-45,Jojoba Oil,Tea Tree Oil,Fine lines,
Paula's Choice,Face Mask,793.59,3.7,21,Combination,36-45,Bakuchiol,Ceramides,Sensitivity,
CeraVe,Night Cream,3229.11,4.6,51,Acne-prone,26-35,Lactic Acid,Titanium Dioxide,Sensitivity,
Youth to the People,Exfoliant,986.36,2.5,32,Dry,56+,Glycolic Acid,Peptides,Dullness,
Skinceuticals,Serum,3436.09,5,20,Normal,36-45,Jojoba Oil,Retinol,Redness,
Youth to the People,Face Mask,525,4,233,Oily,26-35,Salicylic Acid,Glycolic Acid,Uneven texture,
Clinique,Serum,1914.37,3.1,36,Normal,36-45,Zinc Oxide,Ceramides,Hyperpigmentation,
Fenty Beauty,Sunscreen,1552.25,4.8,14,Acne-prone,26-35,Ceramides,Niacinamide,Acne,
Origins,Face Mask,874.94,4.2,167,Combination,26-35,Salicylic Acid,Titanium Dioxide,Sensitivity,
Youth to the People,Facial Oil,1494.8,4.1,64,Normal,56+,Bakuchiol,Ceramides,Oiliness,
Fenty Beauty,Exfoliant,1398.04,4.3,93,Dry,56+,Retinol,Lactic Acid,Dullness,
Olay,Face Mask,563.77,2.8,44,Acne-prone,46-55,Niacinamide,Lactic Acid,Redness,
Glossier,Cleanser,1192.42,3.8,45,Dry,26-35,Ceramides,Lactic Acid,Uneven texture,
L'Oreal,Face Mask,466.4,3.1,21,Dry,26-35,Zinc Oxide,Azelaic Acid,Redness,
Fresh,Serum,2653.99,3.5,21,Dry,36-45,Lactic Acid,Tea Tree Oil,Dark spots,
L'Oreal,Night Cream,3590.67,4.7,32,Acne-prone,36-45,Titanium Dioxide,Lactic Acid,Fine lines,
Skinceuticals,Exfoliant,3305.47,5,17,Combination,36-45,Zinc Oxide,Lactic Acid,Dryness,
Aveeno,Eye Cream,1508.49,4.4,25,Normal,56+,Squalane,Benzoyl Peroxide,Acne,
CeraVe,Serum,1186.32,4.4,127,Acne-prone,18-25,Squalane,Peptides,Redness,
Paula's Choice,Facial Oil,2405.34,4.6,227,Normal,36-45,Squalane,Ceramides,Dullness,
Glossier,Moisturizer,2131.08,4.5,55,Normal,36-45,Niacinamide,Retinol,Anti-aging,
Neutrogena,Night Cream,2146.17,3.4,28,Normal,46-55,Alpha Arbutin,Retinol,Sensitivity,
Glossier,Night Cream,3123.67,4.7,142,Normal,56+,Benzoyl Peroxide,Ceramides,Uneven texture,
Fresh,Serum,2729.49,3.4,55,Dry,56+,Hyaluronic Acid,Tea Tree Oil,Fine lines,
Clinique,Facial Oil,3869.75,5,30,Dry,36-45,Retinol,Kojic Acid,Uneven texture,
Origins,Facial Oil,1823.25,3,188,Oily,18-25,Benzoyl Peroxide,Bakuchiol,Dark spots,
Rare Beauty,Serum,1317.02,3.6,31,Sensitive,26-35,Lactic Acid,Vitamin C,Dark spots,
The Ordinary,Cleanser,605.32,3.9,1,Normal,18-25,Glycolic Acid,Azelaic Acid,Hyperpigmentation,
Drunk Elephant,Toner,1625.12,5,45,Oily,56+,Retinol,Kojic Acid,Dullness,
Skinceuticals,Face Mask,1594.15,3.2,8,Normal,18-25,Bakuchiol,Peptides,Hyperpigmentation,
Estee Lauder,Serum,4194.53,5,31,Normal,26-35,Squalane,Zinc Oxide,Acne,
L'Oreal,Moisturizer,896.47,3.5,108,Dry,18-25,Retinol,Alpha Arbutin,Acne,
Neutrogena,Face Mask,650.01,3.7,15,Normal,26-35,Niacinamide,Azelaic Acid,Dryness,
CeraVe,Exfoliant,2046.03,3.9,434,Combination,18-25,Bakuchiol,Salicylic Acid,Dark spots,
Olay,Serum,1550.04,3.9,4,Normal,18-25,Salicylic Acid,Tea Tree Oil,Dullness,
Origins,Sunscreen,1204.53,4,14,Combination,56+,Zinc Oxide,Hyaluronic Acid,Acne,
